url,description,categoryId
https://www.sitepoint.com/so-do-we-have-a-winner-for-code-challenge-1/,"CODE CHALLENGE,SitePoint Code Challenge Winner",1101
https://leetcode.com/problem-list/xi4ci4ig/,"CODING PRACTICE,Blind 75 Must Do Leetcode",1101
https://codepen.io/beaucarnes/pen/ryKvEQ,"DATA STRUCTURES,Binary Search Tree CodePen",1101
https://app.codility.com/programmers/lessons/3-time_complexity/,"CODING PRACTICE,Codility Time Complexity Lesson",1101
https://www.geeksforgeeks.org/explore?page=1&sortBy=submissions,"CODING PRACTICE,GeeksforGeeks Practice",1101
https://www.hackerrank.com/challenges/arrays-ds/problem,"CODING PRACTICE,HackerRank Arrays DS",1101
https://developer.ibm.com/components/ibm-mq/learningpaths/,"IBM DEVELOPER,IBM MQ Learning Paths",1101
https://www.pearsonvue.com/us/en/aws/onvue.html,"CERTIFICATION,AWS OnVUE Online Testing",1101
https://www.sans.org,"CYBERSECURITY,SANS Institute",1101
https://moz.com,"SEO TOOLS,Moz SEO Software",1101
https://www.comptia.org/en-us/,"CERTIFICATION,CompTIA IT Certifications and Training",1101
