url,description,categoryId
https://web.archive.org,"WEB ARCHIVE,Wayback Machine",1101
https://duotone.shapefactory.co/?f=10c5f8&t=6736dd&q=_,"DESIGN TOOL,Duotone by ShapeFactory",1101
https://axiom.ai,"NO CODE AUTOMATION,Axiom Browser Automation and Web Scraping",1101
https://lumen5.com,"AI MEDIA,Lumen5 AI Video Maker",1101
https://typescale.com,"TYPOGRAPHY,Typescale CSS Typography Generator",1101
https://brandmark.io,"BRANDING,Brandmark Logo Maker",1101
https://www.calligraphr.com/en/,"TYPOGRAPHY,Calligraphr Font Maker",1101
https://www.myfonts.com/pages/whatthefont,"TYPOGRAPHY,WhatTheFont Font Finder",1101
https://www.uistore.design,"UI KITS,UI Store Design",1101
https://muz.li,"DESIGN INSPIRATION,Muzli",1101
https://www.remove.bg,"IMAGE TOOL,Remove Background",1101
https://goodsalesemails.com,"COPYWRITING,Good Sales Emails",1101
https://www.flaticon.com/?k=1651421979406,"ICONS,Flaticon Vector Icons and Stickers",1101
https://www.webdesignernews.com,"DESIGN NEWS,Web Designer News",1101
https://www.tunefind.com,"MEDIA REFERENCE,Tunefind Music from TV Shows and Movies",1101
https://sketchrepo.com,"DESIGN RESOURCES,Sketch Repo",1101
