url,description,categoryId
https://www.mongodb.com/docs/?utm_source=welcome+email&utm_medium=email&utm_content=track+twitter+clicks&utm_campaign=welcome+twitter-harvest/,"DATA,MongoDB Documentation",12
https://blog.codinghorror.com/a-visual-explanation-of-sql-joins/,"DATA,A Visual Explanation of SQL Joins",12
https://www.talend.com,"DATA INTEGRATION,Qlik Talend Cloud",12
https://www.haaretz.com,"NEWS,Haaretz Israel News Middle East and Jewish World",12
https://www.lemonde.fr/en/,"NEWS,Le Monde in English",12
https://www.insidehighered.com,"EDUCATION,Inside Higher Ed",12
https://www.breitbart.com,"NEWS,Breitbart News Network",12
https://www.goodrx.com,"HEALTH DATA,GoodRx Prescription Prices Coupons and Pharmacy Information",12
https://thehackernews.com,"CYBERSECURITY,The Hacker News",12
https://www.naturalearthdata.com,"GEOSPATIAL DATA,Natural Earth",12
https://www.opentopography.org,"GEOSPATIAL DATA,OpenTopography",12
https://data.apps.fao.org/?lang=en,"PUBLIC DATA,FAO Hand-in-Hand",12
https://abq.photoshelter.com/galleries,"CIVIC MEDIA,City of Albuquerque Photo Galleries",12
